Entidad,0
Aguas Calientes,65865
Baja California,134104
Baja California Sur,103730
Campeche,34089
Chiapas,39026
Chihuahua,131468
Ciudad de México,1397401
Coahuila,145491
Colima,54741
Durango,68234
Guanajuato,282090
Guerrero,98380
Hidalgo,93410
Jalisco,245442
Estado de México,572059
Michoacán,94128
Morelos,70176
Nayarit,58205
Nuevo León,319488
Oaxaca,119944
Puebla,169587
Querétaro,142048
Quintana Roo,91883
San Luis Potosí,186157
Sinaloa,121933
Sonora,165598
Tabasco,189782
Tamaulipas,145535
Tlaxcala,43808
Veracruz,179031
Yucatán,109179
Zacatecas,67668
